Order Number;Order Position;Supplier;Ordered Product;Product Article Number;End Product;Planned Delivery Date;Arrival Date;Ordered Quantity;Delivered Quantity;Quality
74682;11;41781068;V-Flansch;3000;"";2023-01-05;2022-12-15;3.0;3.0;3.1
74682;11;41781068;V-Flansch;3000;"";2023-01-05;2022-12-15;3.0;3.0;3.1
74682;11;41781068;V-Flansch;3000;"";2023-01-05;2022-12-15;3.0;3.0;3.1
74682;14;41781068;WN-Flansch;3500;"";2023-01-05;2022-12-15;2.0;2.0;3.1
74682;14;41781068;WN-Flansch;3500;"";2023-01-05;2022-12-15;2.0;2.0;3.1
74666;2;49689366;Kammprofildichtung;6110;Mantel für EA-2901B;2023-01-04;2023-01-04;1.0;1.0;
74666;4;49689366;Kammprofildichtung;6110;Mantel für EA-2901A;2023-01-04;2023-01-04;1.0;1.0;
74806;1;69934049;Spiraldichtung;6200;Reaktor C-[NUM] A;2023-01-30;2023-01-04;4.0;4.0;
74585;1;61231028;"Blech (EN 10029A;ASME VIII/1;E";1000;"";2023-01-13;2023-01-05;2.0;2.0;3.1
74585;4;61231028;"Blech (EN 10029A;ASME VIII/1;E";1000;"";2023-01-13;2023-01-05;2.0;2.0;3.2
74585;5;61231028;"Blech (EN 10029A;ASME VIII/1;E";1000;"";2023-01-13;2023-01-05;2.0;2.0;3.1
74801;1;87555695;"Blech (EN 10029A;ASME VIII/1;E";1000;doppelseitig geschweißtes Rohr;2023-01-05;2023-01-05;1.0;1.0;3.1
74801;2;87555695;"Blech (EN 10029A;ASME VIII/1;E";1000;doppelseitig geschweißtes Rohr;2023-01-05;2023-01-05;1.0;1.0;3.1
74801;3;87555695;Zusatzkosten;12001;doppelseitig geschweißtes Rohr;2023-01-05;2023-01-05;1.0;1.0;
74682;1;41781068;Blindflansch;3510;Abscheidebehälter FA-0403B;2023-01-05;2023-01-05;1.0;1.0;3.1
74682;2;41781068;WN-Flansch;3500;Abscheidebehälter FA-0403B;2023-01-05;2023-01-05;2.0;2.0;3.1
74682;3;41781068;WN-Flansch;3500;Abscheidebehälter FA-0403B;2023-01-05;2023-01-05;1.0;1.0;3.1
74682;4;41781068;Blindflansch;3510;Kompressor Saugflaschen FA-[NUM];2023-01-05;2023-01-05;1.0;1.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;6;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;6.0;6.0;3.1
74682;7;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;4.0;4.0;3.1
74682;7;41781068;Blindflansch;3510;"";2023-01-05;2023-01-05;4.0;4.0;3.1
