Order Number;Supplier Number;Supplier;Product Article Number;Ordered Product;Ordered Product - Supplement;Original Ordered Quantity;Original Desired Date;Planned Delivery Date;Ordered Quantity;Arrival Date;Delivered Quantity
6260783;70214;93118673;23101030601;Halteplatte für OPC-Schnittstelle;REOVIB [CODE] [CODE];14.0;2023-05-01;2023-05-01;14.0;2023-05-23T00:00:00.000;14.0
6260784;70175;41446825;23100770000;Gehäuse [CODE]/[NUM] [NUM], A [NUM];Alu-/Gussgehäuse;50.0;2023-09-04;2023-09-04;50.0;2023-09-04T00:00:00.000;50.0
6260785;72156;22740983;23101070000;Gehäuse kpl. [CODE] rf Z.Nr.:[CODE]-[CODE];[NUM];30.0;2023-08-21;2023-08-21;30.0;2023-08-24T00:00:00.000;30.0
6260786;72156;22740983;23101081101;Deckel Steuereinsatz [CODE],[CODE].[NUM] kpl;Z.Nr:[CODE];100.0;2023-11-06;2023-11-06;100.0;2023-11-03T00:00:00.000;100.0
6260786;72156;22740983;23101080001;Gehäuse kpl. [CODE] Z.Nr.:KR519052_[PART];[NUM];100.0;2023-11-06;2023-11-06;100.0;2023-11-03T00:00:00.000;100.0
6260786;72156;22740983;23101081101;Deckel Steuereinsatz [CODE],[CODE].[NUM] kpl;Z.Nr:[CODE];40.0;2023-05-22;2023-05-22;40.0;2023-05-22T00:00:00.000;40.0
6260786;72156;22740983;23101080001;Gehäuse kpl. [CODE] Z.Nr.:KR519052_[PART];[NUM];40.0;2023-04-24;2023-04-24;40.0;2023-05-09T00:00:00.000;40.0
6260786;72156;22740983;9999;Werkzzeugkosten (Änderung);"";0.0;2023-12-04;2023-12-04;0.0;;
6260787;71389;23635582;29000190000;Linsenschraube [CODE] DIN [NUM];Stahl verzinkt, mit Kreuzschlitz;20000.0;2023-01-09;2023-01-09;20000.0;2023-01-12T00:00:00.000;20000.0
6260788;71416;10488377;22900710605;Bestückte Platine [NUM] [NUM] [NUM];[NUM];1500.0;2023-12-04;2023-12-04;1500.0;2023-12-01T00:00:00.000;1000.0
6260788;71416;10488377;;ABRUF;"";0.0;2019-06-24;2023-11-06;0.0;2024-01-18T00:00:00.000;0.0
6260788;71416;10488377;;"";"";0.0;2019-06-24;2023-11-06;0.0;2024-01-18T00:00:00.000;0.0
6260788;71416;10488377;22900710605;Bestückte Platine [NUM] [NUM] [NUM];[NUM];1500.0;2024-01-01;2024-01-01;1500.0;2024-01-18T00:00:00.000;1500.0
6260789;71382;62561667;23500120400;Folie MFS [NUM] im [CODE];Zeichnung [NUM].cdr;525.0;2023-11-27;2023-11-27;525.0;2023-11-21T00:00:00.000;525.0
6260789;71382;62561667;23500120500;Folie MFS [CODE] im [CODE] ohne Druck;Zeichnung [NUM].cdr;210.0;2023-11-27;2023-11-27;210.0;2023-11-21T00:00:00.000;210.0
6260790;70501;89978826;9999;[NUM];"";1.0;2023-01-02;2023-01-09;1.0;2023-01-10T00:00:00.000;1.0
6260790;70501;89978826;9999;[NUM];"";1.0;2023-01-02;2023-01-09;1.0;2023-01-10T00:00:00.000;1.0
6260790;70501;89978826;9999;[NUM];"";1.0;2023-01-02;2023-01-09;1.0;2023-01-10T00:00:00.000;1.0
6260790;70501;89978826;9999;[NUM];"";1.0;2023-01-02;2023-01-09;1.0;2023-01-10T00:00:00.000;1.0
6260790;70501;89978826;;"";"";0.0;2023-01-02;2023-01-02;0.0;;
6260791;71298;28567621;28000010501;Kombi-Schutzschalter, thermisch, 20A;[NUM]-[CODE]-[CODE]-SGRD-20A/[CODE]-[CODE];30.0;2023-04-17;2023-04-17;30.0;2023-04-17T00:00:00.000;30.0
6260791;71298;28567621;28000015500;Spritzwasserdichtung [CODE];für Schalter [NUM] 3120U0570174I;30.0;2023-04-17;2023-04-17;30.0;2023-04-17T00:00:00.000;30.0
6260791;71298;28567621;28000010501;Kombi-Schutzschalter, thermisch, 20A;[NUM]-[CODE]-[CODE]-SGRD-20A/[CODE]-[CODE];30.0;2023-06-26;2023-06-26;30.0;2023-06-23T00:00:00.000;30.0
